OBJECTID,State,Facility_ID,Tank_ID,Tank_Status,Installation_Date,Removal_Date,Capacity,Substances,Tank_Wall_Type,QA
46151,Alaska,AK3575,AK3575_3,Temporarily out of Service,11/7/2011 5:00:00 AM,,8000,Gasoline,,
46154,Alaska,AK726,AK726_9,Open,10/5/2011 4:00:00 AM,,1500,Diesel,,
46156,Alaska,AK2630,AK2630_3,Open,8/25/2011 4:00:00 AM,,10000,Diesel,,
46160,Alaska,AK3570,AK3570_1,Open,8/15/2011 4:00:00 AM,,20000,Gasoline,,
46161,Alaska,AK3570,AK3570_2,Open,8/15/2011 4:00:00 AM,,20000,Gasoline,,
46163,Alaska,AK3571,AK3571_1,Open,8/15/2011 4:00:00 AM,,20000,Gasoline,,
46165,Alaska,AK3571,AK3571_2,Open,8/15/2011 4:00:00 AM,,20000,Gasoline,,
46168,Alaska,AK1253,AK1253_3,Open,8/12/2011 4:00:00 AM,,5000,Diesel,,
46170,Alaska,AK3569,AK3569_1,Open,6/25/2011 4:00:00 AM,,26000,Gasoline,,
46172,Alaska,AK3495,AK3495_2,Open,12/1/2010 5:00:00 AM,,7000,Diesel,,
46174,Alaska,AK561,AK561_2,Open,10/4/2010 4:00:00 AM,,20000,Gasoline,,
46176,Alaska,AK2598,AK2598_5,Open,10/1/2010 4:00:00 AM,,4000,Diesel,,
46178,Alaska,AK936,AK936_8,Open,9/20/2010 4:00:00 AM,,5000,Diesel,,
46180,Alaska,AK561,AK561_3,Open,8/30/2010 4:00:00 AM,,18000,Diesel,,
46183,Alaska,AK3510,AK3510_2,Open,7/19/2010 4:00:00 AM,,4000,Diesel,,
46186,Alaska,AK3505,AK3505_2,Open,7/12/2010 4:00:00 AM,,2000,Diesel,,
46189,Alaska,AK2569,AK2569_3,Open,7/7/2010 4:00:00 AM,,8000,Diesel,,
46192,Alaska,AK3498,AK3498_2,Open,7/5/2010 4:00:00 AM,,4000,Diesel,,
46195,Alaska,AK3507,AK3507_2,Open,6/25/2010 4:00:00 AM,,4000,Diesel,,
46198,Alaska,AK3508,AK3508_2,Open,6/17/2010 4:00:00 AM,,2000,Diesel,,
46202,Alaska,AK3556,AK3556_1,Open,2/2/2010 5:00:00 AM,,20000,Gasoline,,
46205,Alaska,AK3549,AK3549_1,Open,10/23/2009 4:00:00 AM,,20000,Gasoline,,
46209,Alaska,AK3549,AK3549_2,Open,10/23/2009 4:00:00 AM,,28000,Diesel,,
46212,Alaska,AK3500,AK3500_3,Open,10/1/2009 4:00:00 AM,,500,Diesel,,
46216,Alaska,AK3503,AK3503_2,Open,10/1/2009 4:00:00 AM,,4000,Diesel,,
46220,Alaska,AK3509,AK3509_2,Open,10/1/2009 4:00:00 AM,,4000,Diesel,,
46223,Alaska,AK3511,AK3511_2,Open,8/20/2009 4:00:00 AM,,6000,Diesel,,
46225,Alaska,AK3501,AK3501_2,Open,7/20/2009 4:00:00 AM,,4000,Diesel,,
46227,Alaska,AK2296,AK2296_3,Open,2/15/2009 5:00:00 AM,,25000,Diesel,,
46229,Alaska,AK2296,AK2296_4,Open,2/15/2009 5:00:00 AM,,25000,Diesel,,
46231,Alaska,AK2296,AK2296_5,Open,2/15/2009 5:00:00 AM,,25000,Diesel,,
46233,Alaska,AK2296,AK2296_6,Open,2/15/2009 5:00:00 AM,,25000,Gasoline,,
46235,Alaska,AK3539,AK3539_1,Open,11/15/2008 5:00:00 AM,,20000,Gasoline,,
46237,Alaska,AK3541,AK3541_1,Open,10/15/2008 4:00:00 AM,,20000,Gasoline,,
46239,Alaska,AK3541,AK3541_2,Open,10/15/2008 4:00:00 AM,,20000,Gasoline,,
46241,Alaska,AK3542,AK3542_4,Open,10/9/2008 4:00:00 AM,,2000,Diesel,,
46243,Alaska,AK3494,AK3494_2,Open,10/3/2008 4:00:00 AM,,3000,Diesel,,
46245,Alaska,AK3544,AK3544_1,Open,10/1/2008 4:00:00 AM,,15000,Gasoline,,
46247,Alaska,AK3544,AK3544_2,Open,10/1/2008 4:00:00 AM,,15000,Gasoline,,
46249,Alaska,AK3548,AK3548_1,Open,10/1/2008 4:00:00 AM,,10000,Diesel,,
46251,Alaska,AK3574,AK3574_1,Closed,9/24/2008 4:00:00 AM,,300,Diesel,,
46253,Alaska,AK206,AK206_4,Open,9/10/2008 4:00:00 AM,,5500,Gasoline,,
46256,Alaska,AK1473,AK1473_4,Open,7/22/2008 4:00:00 AM,,15000,Gasoline,,
46259,Alaska,AK1473,AK1473_5,Open,7/22/2008 4:00:00 AM,,12000,Diesel,,
46262,Alaska,AK3538,AK3538_1,Open,7/10/2008 4:00:00 AM,,20000,Gasoline,,
46265,Alaska,AK3538,AK3538_2,Open,7/10/2008 4:00:00 AM,,12000,Gasoline,,
46269,Alaska,AK3538,AK3538_3,Open,7/10/2008 4:00:00 AM,,12000,Diesel,,
46272,Alaska,AK834,AK834_4,Open,10/15/2007 4:00:00 AM,,15000,Gasoline,,
46275,Alaska,AK834,AK834_5,Open,10/15/2007 4:00:00 AM,,15000,Gasoline,,
46279,Alaska,AK3517,AK3517_1,Open,9/24/2007 4:00:00 AM,,1000,Diesel,,
46282,Alaska,AK3515,AK3515_1,Open,8/20/2007 4:00:00 AM,,20000,Diesel,,
46285,Alaska,AK3515,AK3515_2,Open,8/20/2007 4:00:00 AM,,20000,Diesel,,
46288,Alaska,AK3515,AK3515_4,Open,8/20/2007 4:00:00 AM,,20000,Gasoline,,
46293,Alaska,AK3515,AK3515_5,Open,8/20/2007 4:00:00 AM,,20000,Gasoline,,
46295,Alaska,AK3515,AK3515_3,Open,8/1/2007 4:00:00 AM,,20000,Diesel,,
46297,Alaska,AK3516,AK3516_1,Open,7/24/2007 4:00:00 AM,,5000,Diesel,,
46298,Alaska,AK3513,AK3513_1,Open,7/9/2007 4:00:00 AM,,20000,Kerosene,,
46300,Alaska,AK2839,AK2839_3,Open,6/28/2007 4:00:00 AM,,18000,Gasoline,,
46302,Alaska,AK3462,AK3462_4,Open,1/25/2007 5:00:00 AM,,10000,Diesel,,
46304,Alaska,AK3488,AK3488_1,Open,10/3/2006 4:00:00 AM,,12000,Gasoline,,
46306,Alaska,AK3488,AK3488_2,Open,10/3/2006 4:00:00 AM,,12000,Gasoline,,
46307,Alaska,AK3209,AK3209_5,Open,9/22/2006 4:00:00 AM,,12000,Diesel,,
46308,Alaska,AK523,AK523_6,Open,12/2/2005 5:00:00 AM,,15000,Gasoline,,
46309,Alaska,AK523,AK523_7,Open,12/2/2005 5:00:00 AM,,15000,Gasoline,,
46311,Alaska,AK3071,AK3071_3,Open,9/1/2005 4:00:00 AM,,12000,Diesel,,
46313,Alaska,AK1587,AK1587_6,Open,8/1/2005 4:00:00 AM,,20000,Diesel,,
46315,Alaska,AK1985,AK1985_4,Open,7/25/2005 4:00:00 AM,,12000,Gasoline,,
46317,Alaska,AK1985,AK1985_5,Open,7/25/2005 4:00:00 AM,,15000,Gasoline,,
46319,Alaska,AK1778,AK1778_12,Open,5/15/2005 4:00:00 AM,,12000,Diesel,,
46321,Alaska,AK3481,AK3481_1,Open,5/1/2005 4:00:00 AM,,25000,Gasoline,,
46323,Alaska,AK3612,AK3612_1,Open,5/1/2005 4:00:00 AM,,10000,Diesel,,
46325,Alaska,AK1982,AK1982_5,Open,4/25/2005 4:00:00 AM,,20000,Gasoline,,
46326,Alaska,AK1982,AK1982_6,Open,4/25/2005 4:00:00 AM,,20000,Diesel,,
46327,Alaska,AK3478,AK3478_1,Open,10/8/2004 4:00:00 AM,,15000,Diesel,,
46328,Alaska,AK3520,AK3520_1,Open,9/1/2004 4:00:00 AM,,15000,Diesel,,
46329,Alaska,AK3475,AK3475_1,Open,6/30/2004 4:00:00 AM,,20000,Gasoline,,
46330,Alaska,AK3475,AK3475_2,Open,6/30/2004 4:00:00 AM,,16000,Gasoline,,
